date,pr,srad,tmax,tmin,vp,q,basin_id,average_pr,average_q,average_tmax,average_tmin
2008-04-13,3.99,329.49,5.47,-3.07,492.26,9.58,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-14,0.0,324.65,2.7,-3.11,491.77,7.23,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-15,0.0,526.68,5.31,-5.55,405.35,6.75,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-16,0.0,630.09,8.92,-5.96,398.88,7.79,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-17,0.0,693.78,14.43,-5.49,406.8,10.49,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-18,0.0,701.83,19.24,-2.62,506.68,14.59,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-19,0.0,707.35,22.49,-1.5,538.22,17.56,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-20,0.0,675.2,18.47,-0.89,577.21,17.27,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-21,0.0,589.38,15.21,0.79,649.68,15.63,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-22,0.0,677.27,19.84,-0.35,593.66,15.13,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-23,0.0,692.18,22.17,0.12,607.08,15.07,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-24,1.36,684.64,24.1,2.17,700.64,15.07,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-25,0.0,641.54,14.52,-2.45,516.0,10.84,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-26,0.0,665.26,16.37,-2.16,527.81,7.84,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-27,0.0,609.59,15.21,-0.49,598.58,6.02,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-28,6.64,237.59,9.84,3.45,784.5,4.87,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-29,31.1,301.01,11.6,2.94,756.04,17.83,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-30,46.56,323.01,7.11,-1.91,533.31,27.57,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-01,0.0,428.23,4.93,-3.92,455.02,11.91,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-02,0.0,564.55,7.7,-4.95,423.06,7.68,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-03,0.0,630.78,13.88,-1.99,531.17,5.62,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-04,6.39,199.76,6.6,1.33,673.86,5.35,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-05,6.87,139.64,5.12,1.81,696.53,6.02,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-06,0.0,674.79,17.21,-1.21,565.16,4.9,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-07,0.0,687.0,20.93,0.56,640.58,4.12,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-08,1.0,541.5,17.02,4.2,833.21,3.61,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-09,0.0,642.79,20.25,2.8,750.62,3.37,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-10,0.0,585.93,18.0,3.47,783.69,2.76,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-11,0.0,567.0,14.0,0.45,629.89,2.38,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-12,0.0,634.71,16.79,0.02,611.42,2.1,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-13,0.0,623.36,16.63,0.18,624.76,1.89,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-14,0.0,642.35,19.18,1.04,656.94,1.74,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-15,0.0,656.22,21.68,2.05,697.96,1.65,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-16,0.0,545.27,16.55,2.51,735.69,1.59,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-17,0.0,545.93,18.64,4.65,860.15,1.45,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-18,0.0,532.38,18.33,5.06,880.72,1.16,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-19,0.0,527.43,19.06,6.14,945.23,1.09,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-20,0.78,348.54,11.62,3.79,811.13,1.03,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-21,3.18,324.5,14.62,4.97,872.45,1.04,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-22,4.19,392.97,16.44,4.3,836.7,1.16,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-23,1.28,344.09,11.44,4.41,842.28,1.04,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-24,3.05,373.08,13.66,3.85,796.32,0.99,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-25,0.0,601.36,15.59,1.59,686.81,0.91,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-26,0.0,672.8,21.06,2.67,718.23,0.81,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-27,1.89,467.9,20.38,9.19,1175.3,0.79,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-28,0.0,696.56,22.6,1.32,622.16,0.76,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-29,0.0,517.42,14.38,2.89,763.45,0.68,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-30,0.0,654.62,19.26,1.07,632.59,0.61,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-05-31,4.36,462.86,19.87,3.72,806.92,0.71,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-06-01,21.62,199.26,12.76,7.26,1025.66,1.99,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-06-02,2.14,449.08,21.09,10.26,1261.16,1.33,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-06-03,2.17,399.35,16.79,7.22,1022.34,1.13,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-06-04,13.21,362.21,19.28,7.74,1064.4,1.49,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-06-05,12.8,85.27,10.0,8.23,1101.51,3.35,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-06-06,1.93,389.12,18.41,9.35,1187.82,2.35,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-06-07,4.76,126.41,12.62,9.41,1195.3,2.1,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-06-08,0.0,613.1,28.42,11.07,1187.27,1.33,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-06-09,3.29,441.73,30.94,15.06,1702.12,1.18,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-06-10,1.69,324.57,24.23,16.56,1889.2,1.25,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-06-11,31.28,407.5,30.47,15.51,1760.93,6.02,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
